Quarters,BAJAJ AUTO LTD.,CIPLA LTD.,COAL INDIA LTD.,DR. REDDY'S LABORATORIES LTD.,GRASIM INDUSTRIES LTD.,H C L TECHNOLOGIES LTD.,HERO MOTOCORP LTD.,HINDALCO INDUSTRIES LTD.,I C I C I BANK LTD.,I T C LTD.,INDUSIND BANK LTD.,INFOSYS LTD.,MARUTI SUZUKI INDIA LTD.,N T P C LTD.,OIL & NATURAL GAS CORPN. LTD.,POWER GRID CORPN. OF INDIA LTD.,STATE BANK OF INDIA,TATA CONSULTANCY SERVICES LTD.,TATA MOTORS LTD.,WIPRO LTD.,market return,SMB,HML,RMW,CMA,MOM
2018Q2,0.007483341,0.114117154,-0.083307489,0.057841943,-0.05833372,-0.060140166,-0.035978066,0.057924378,-0.027015435,0.025461402,0.058968847,0.13855711,-0.020423542,-0.075639424,-0.125528628,-0.04953499,0.021397859,-0.367890513,-0.192491919,-0.086308784,-0.021275913,-0.140127189,-0.086407877,0.048295055,-0.068923242,0.309382921
2018Q3,-0.061197574,0.043166908,-0.010295939,0.114773169,-0.00293305,0.156929575,-0.173018143,-0.021171016,0.091993744,0.10103653,-0.142806845,-0.458999598,-0.18491109,0.027615273,0.101203489,-0.009187956,0.006229749,0.164332342,-0.186811267,0.221522356,-0.031844585,0.002132491,-0.035932673,-0.054831541,-0.012005903,0.327129296
2018Q4,-0.004667648,-0.222553533,-0.112609964,0.017088775,-0.208612115,-0.130321251,0.041461795,-0.031858177,0.161858842,-0.070907524,-0.070531952,-0.114225906,-0.000837657,-0.123517965,-0.170898521,0.037570204,0.097665626,-0.149935101,-0.244819223,0.004306659,-0.018853094,0.150028487,0.004135716,0.10372147,0.067201266,0.341208852
2019Q1,0.054683404,0.00257939,-0.030260518,0.047068673,0.023668693,0.112135818,-0.193045736,-0.107026867,0.09652172,0.039872962,0.097472001,0.113326407,-0.121730188,-0.111791348,0.050195543,-0.019290416,0.068466144,0.041852809,-0.00653983,-0.245377406,-0.011849879,0.008334899,0.007649356,0.017938739,0.064960977,0.232606471
2019Q2,-0.043335436,0.031953904,0.055519949,-0.097117626,0.050983516,-0.035429669,-0.003359258,-0.006920609,0.07692258,-0.093184803,-0.222047458,-0.030393819,-0.03512995,0.03490578,0.035615059,0.031014326,0.111803375,0.098218849,-0.081608095,0.086400234,0.005676607,-0.052805959,-0.082486739,-0.032569489,-0.022681779,0.275239384
2019Q3,0.027131651,-0.244644559,-0.226027315,0.046060545,-0.21474925,0.001523086,0.034285197,-0.089285458,-0.021236903,-0.06458124,-0.032565063,0.087156391,0.014263091,-0.182188466,-0.227765367,-0.051399397,-0.263838986,-0.070884728,-0.290911454,-0.158556402,-0.048856794,-0.048454406,-0.164156014,-0.01564314,-0.178348646,0.35477225
2019Q4,0.070618601,0.111802416,0.045491284,0.051709807,0.006507228,-0.486325425,-0.108807581,0.117553562,0.230512111,-0.097293358,0.079343451,-0.10452379,0.085151736,0.001139616,-0.034813633,-0.05626187,0.220407507,0.017672321,0.564363623,0.012968978,0.063030636,0.085490711,-0.049172254,0.019712524,-0.037170172,0.385740839
2020Q1,-0.375406169,-0.126113473,-0.347722021,0.075281265,-0.370146389,-0.242192306,-0.356900969,-0.567618831,-0.409606114,-0.28802784,-0.777717916,-0.132981981,-0.428397485,-0.303101068,-0.48008742,-0.174098855,-0.420554189,-0.165615107,-0.626624012,-0.210122822,-0.259391735,-0.055314074,-0.250151214,0.024619441,-0.17884307,0.390059838
2020Q2,0.389625061,0.506346412,-0.059194105,0.256319286,0.293833413,0.268224355,0.587599613,0.519906806,0.077775952,0.125879472,0.343767487,0.139449154,0.353664699,0.129983327,0.18328492,0.091210449,-0.101256081,0.132432962,0.3750451,0.108891246,0.22335236,0.044316875,0.02137838,-0.189151104,-0.104297382,0.440589756
2020Q3,0.010760677,0.201277286,-0.135553585,0.306329544,0.192184854,0.448765253,0.226994495,0.189981601,0.000670862,-0.126622739,0.102064679,0.361279153,0.14631776,-0.120409832,-0.157458821,-0.079636739,0.030227675,0.188265078,0.348024194,0.418779484,-0.070867294,0.153844349,-0.199183373,-0.10953238,-0.124991465,0.519358821
